export_timestamp,ticker,action,priority,risk_level,confidence,close_price,RSI,predicted_signal
2025-11-26 08:16:55,AZN,SELL,1,Low,0.8353787205754429,93.24,86.30630630630642,Overbought (Sell)
2025-11-26 08:16:55,BIIB,SELL,1,Low,0.8224587432799282,181.96,87.02309888398649,Overbought (Sell)
2025-11-26 08:16:55,CDNS,BUY,1,Low,0.9326727021178703,303.66,25.405294479786562,Oversold (Buy)
2025-11-26 08:16:55,CHTR,BUY,1,Low,0.9316066199270014,200.76,28.609015962111712,Oversold (Buy)
2025-11-26 08:16:55,COST,BUY,1,Low,0.9409437951379012,894.33,28.88566092550333,Oversold (Buy)
2025-11-26 08:16:55,ELF,BUY,1,Low,0.9608335670381579,72.11,15.290009110233896,Oversold (Buy)
2025-11-26 08:16:55,FTV,SELL,2,Medium,0.7925207714652077,53.28,71.57001414427155,Overbought (Sell)
2025-11-26 08:16:55,GOOGL,SELL,2,Medium,0.796726216939591,323.44,71.99055861526355,Overbought (Sell)
2025-11-26 08:16:55,JD,BUY,1,Low,0.9392615309585044,29.14,22.433460076045492,Oversold (Buy)
2025-11-26 08:16:55,MAR,SELL,2,Medium,0.7720958489162186,304.12,71.94994786235628,Overbought (Sell)
2025-11-26 08:16:55,MCHP,BUY,1,Low,0.917015715644791,51.83,22.70237370663446,Oversold (Buy)
2025-11-26 08:16:55,MNST,SELL,1,Low,0.8184043906278342,74.82,73.72013651877135,Overbought (Sell)
2025-11-26 08:16:55,MSI,BUY,1,Low,0.9683998367696731,369.51,19.58110082805689,Oversold (Buy)
2025-11-26 08:16:55,NFLX,BUY,1,Low,0.9555286133885162,104.4,5.934712839335418,Oversold (Buy)
2025-11-26 08:16:55,NXPI,BUY,1,Low,0.951892933247599,191.02,26.130776794493627,Oversold (Buy)
2025-11-26 08:16:55,ORLY,SELL,1,Low,0.810904704722009,101.38,72.9671897289593,Overbought (Sell)
2025-11-26 08:16:55,PANW,BUY,1,Low,0.9666251772550178,186.27,22.206155752943573,Oversold (Buy)
2025-11-26 08:16:55,PDD,BUY,1,Low,0.9652676633016715,114.0,12.74182788525691,Oversold (Buy)
2025-11-26 08:16:55,PYPL,BUY,1,Low,0.931892933247599,61.22,27.864077669902926,Oversold (Buy)
2025-11-26 08:16:55,QCOM,BUY,1,Low,0.9498242156000252,163.3,29.98537298878594,Oversold (Buy)
2025-11-26 08:16:55,REGN,SELL,1,Low,0.8324190159633731,787.32,86.35139940061974,Overbought (Sell)
2025-11-26 08:16:55,ROST,SELL,1,Low,0.8103122101443451,176.5,78.36978131212723,Overbought (Sell)
